9740100000,1300 ALDER ST,7-11,EUGENE,OR,MIXED,STANDARD,B,1400,,,20041206
9740100002,1200 KINCAID ST,12TH,EUGENE,OR,MIXED,SNORKEL,R,1400,,,20041206
9740100006,120 COBURG RD,[NEAR BP STATION],EUGENE,OR,METERED,JUMBO SNKL,B,1700,1430,,20041206
9740100008,1200 HIGH ST,12TH,EUGENE,OR,METERED,STANDARD,R,1445,,,20041206
9740100010,800 WILLAMETTE ST,,EUGENE,OR,FLATS,STANDARD,B,1645,,,20041206
9740100015,800 LAWERENCE ST,8TH,EUGENE,OR,MIXED,STANDARD,R,1615,,,20041206
9740100016,390 W 11TH,FRONT OF WYATTS TIRES,EUGENE,OR,STAMPED,SNORKEL,B,1615,1645,,20041206
9740100020,1600 OAK ST,16TH,EUGENE,OR,STAMPED,JUMBO SNKL,B,1700,1615,,20041206
9740100021,1400 OAK ST,14TH,EUGENE,OR,MIXED,STANDARD,R,1600,,,20041206
9740100022,975 OAK,10TH,EUGENE,OR,STAMPED,STANDARD,B,1715,1630,,20041206
9740100025,1500 WILLAMETTE,15TH (NEXT TO TINO'S),EUGENE,OR,MIXED,STANDARD,B,1545,1615,,20041206
9740100027,132 E BROADWAY,EUG PROF BLDG,EUGENE,OR,METERED,STANDARD,B,1645,1630,,20041206
9740100029,777 HIGH ST,,EUGENE,OR,STAMPED,STANDARD,B,1645,,,20041206
9740100030,311 COBURG RD,ALBERTSONS,EUGENE,OR,MIXED,STANDARD,B,1345,1230,,20041206
9740100031,2300 OAKMONT WAY,CHAMPION INTERNATIONAL,EUGENE,OR,METERED,STANDARD,B,1700,,,20041206
9740100032,2300 OAKMONT WAY,CHAMPION INTERNATIONAL,EUGENE,OR,METERED,STANDARD,B,1700,,,20041206
9740100033,2300 OAKMONT WAY,CHAMPION INTERNATIONAL,EUGENE,OR,STAMPED,STANDARD,B,1700,,,20041206
9740100034,2149 CENTENNIAL LOOP PLAZA,BOXES ON THE NW CORNER,EUGENE,OR,STAMPED,STANDARD,B,1645,,,20041206
9740100035,2149 CENTENNIAL LOOP PLAZA,BOXES ON THE NW CORNER,EUGENE,OR,FLATS,STANDARD,B,1645,,,20041206
9740100037,1560 COBURG RD,CHAMPION,EUGENE,OR,MIXED,SNORKEL,B,1630,1215,,20041206
9740100040,1145 PEARL ST,,EUGENE,OR,STAMPED,SNORKEL,B,1645,1400,,20041206
9740100043,1200 OLIVE ST,12TH (ACROSS FROM E. HOSPITAL),EUGENE,OR,STAMPED,STANDARD,B,1630,,,20041206
9740100044,1200 PATTERSON,12TH,EUGENE,OR,MIXED,STANDARD,B,1630,,,20041206
9740100045,1650 VALLEY RIVER DRIVE,NEXT TO BUS STOP,EUGENE,OR,FLATS,JUMBO STD,B,1615,,,20041206
9740100046,1200 EXECUTIVE PARKWAY,IN FRONT OF BLACK BLDGS.,EUGENE,OR,STAMPED,SNORKEL,B,1630,1445,,20041206
9740100047,1200 EXECUTIVE PARKWAY,IN FRONT OF BLACK BLDGS.,EUGENE,OR,FLATS,SNORKEL,B,1630,1445,,20041206
9740100048,1200 EXECUTIVE PARKWAY,IN FRONT OF BLACK BLDGS.,EUGENE,OR,METERED,SNORKEL,B,1630,1445,,20041206
9740100049,1200 EXECUTIVE PARKWAY,IN FRONT OF BLACK BLDGS.,EUGENE,OR,STAMPED,SNORKEL,B,1630,1445,,20041206
9740100052,501 VALLEY RIVER CTR MALL,NEAR MONTGOMERY WARDS,EUGENE,OR,MIXED,WALL,B,1445,1445,,20041206
9740100053,501 VALLEY RIVER CTR MALL,NEAR MONTGOMERY WARDS,EUGENE,OR,EXPRESS,EXPRESS,B,1445,,,20041206
9740100054,1144 WILLAGILESPIE RD,DELTA TRIAD BLDG,EUGENE,OR,MIXED,JUMBO SNKL,B,1630,,,20041206
9740100058,927 COUNTRY CLUB RD,,EUGENE,OR,MIXED,SNORKEL,R,1415,,,20041206
9740100062,520 WILLAMETTE ST,MAIN OFFICE,EUGENE,OR,METERED,SNORKEL,P,1800,1700,1000,20041206
9740100063,520 WILLAMETTE ST,MAIN OFFICE,EUGENE,OR,FLATS,STANDARD,P,1800,1700,1000,20041206
9740100064,500 OLIVE ST,MAIN OFFICE,EUGENE,OR,STAMPED,SNORKEL,P,1800,1700,1000,20041206
9740100065,500 OLIVE ST,MAIN OFFICE,EUGENE,OR,METERED,SNORKEL,P,1800,1700,1000,20041206
9740100066,120 COBURG RD,[NEAR BP STATION],EUGENE,OR,STAMPED,JUMBO SNKL,B,1700,1430,,20041206
9740100076,1600 OAK ST,16TH,EUGENE,OR,FLATS,SNORKEL,B,1700,1615,,20041206
9740100077,1600 OAK ST,16TH,EUGENE,OR,METERED,SNORKEL,B,1700,1615,,20041206
9740100078,1600 OAK ST,16TH,EUGENE,OR,METERED,SNORKEL,B,1700,1615,,20041206
9740100080,1145 PEARL ST,,EUGENE,OR,METERED,SNORKEL,B,1645,1400,,20041206
9740100081,2149 CENTENNIAL LOOP PLAZA,BOXES ON THE NW CORNER,EUGENE,OR,METERED,STANDARD,B,1645,,,20041206
